summary,start,end,categories,description,zones 
Journée nationale de la Mémoire de la Shoah,2025-01-27,,Mémoire|Société,Commémore la libération du camp d'Auschwitz le 27 janvier 1945.,
Nouvelle Lune,2025-01-29,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Tournoi des Six Nations 2025,2025-01-31,2025-03-15,Sport,Le tournoi mythique opposant les meilleures nations européennes.,all
Chandeleur,2025-02-02,,Culture|Christianisme|Gastronomie,"Fête de la Présentation de Jésus au Temple, 40 jours après Noël.",
Journée mondiale des zones humides,2025-02-02,,Environnement,Commémore la Convention de Ramsar signée le 2 février 1971.,
Journée mondiale contre le cancer,2025-02-04,,Santé,Initiée par l'Union Internationale Contre le Cancer depuis 2000.,
Premier Quartier,2025-02-05,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Vacances d'Hiver - Zone B,2025-02-08,2025-02-23,Vacances scolaires,"Vacances d'Hiver pour la zone scolaire B. Durée : 16 jours, du 08/02/2025 au 23/02/2025. Le découpage en zones A, B et C a été instauré en 1972.",B
Pleine Lune,2025-02-12,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Saint-Valentin,2025-02-14,,Fêtes|Culture,Fête des amoureux le 14 février.,
Vacances d'Hiver - Zone C,2025-02-15,2025-03-02,Vacances scolaires,"Vacances d'Hiver pour la zone scolaire C. Durée : 16 jours, du 15/02/2025 au 02/03/2025. Le découpage en zones A, B et C a été instauré en 1972.",C
Dernier Quartier,2025-02-20,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Salon de l'Agriculture — Ouverture,2025-02-22,,Gastronomie|Agriculture|Culture,Le Salon International de l'Agriculture se tient chaque fin février à Paris.,
Vacances d'Hiver - Zone A,2025-02-22,2025-03-09,Vacances scolaires,"Vacances d'Hiver pour la zone scolaire A. Durée : 16 jours, du 22/02/2025 au 09/03/2025. Le découpage en zones A, B et C a été instauré en 1972.",A
Nouvelle Lune,2025-02-28,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Fête des Grands-Mères,2025-03-02,,Fêtes|Culture,Créée en 1987 par la marque de café Grand'Mère.,
Mardi Gras,2025-03-04,,Christianisme|Culture|Fêtes,"Dernier jour avant le Carême, où la tradition voulait qu'on fasse bombance avant l'abstinence.",
Début du Carême,2025-03-05,,Christianisme,"Le Carême commence le Mercredi des Cendres, 46 jours avant Pâques.",
Premier Quartier,2025-03-06,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Journée internationale des femmes,2025-03-08,,Société,Issue des luttes ouvrières du début du XXe siècle en Europe et aux États-Unis.,
Pleine Lune,2025-03-14,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Saint-Patrick,2025-03-17,,Culture|Fêtes,"Fête nationale irlandaise le 17 mars, commémorant la mort de saint Patrick (461).",
Baccalauréat général et technologique — Épreuves de spécialité,2025-03-18,2025-03-20,Éducation|Examens,Épreuves terminales écrites de spécialité du baccalauréat général et technologique.,
Début du Printemps — Équinoxe de printemps,2025-03-20,,Saisons|Astronomie,L'équinoxe de printemps marque le début astronomique du printemps.,
Journée nationale de lutte contre les discriminations,2025-03-21,,Société,Créée par l'ONU en 1966 en mémoire du massacre de Sharpeville.,
Dernier Quartier,2025-03-22,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Journée mondiale de l'eau,2025-03-22,,Environnement|Société,Proclamée par l'ONU en 1993.,
Nouvelle Lune,2025-03-29,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Passage à l'heure d'été,2025-03-30,,Changement d'heure,"Dans la nuit du samedi au dimanche, les montres avancent d'une heure (2h → 3h).",
Poisson d'avril,2025-04-01,,Culture,Journée des farces et des canulars.,
Premier Quartier,2025-04-05,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Vacances de Printemps - Zone B,2025-04-05,2025-04-21,Vacances scolaires,"Vacances de Printemps pour la zone scolaire B. Durée : 17 jours, du 05/04/2025 au 21/04/2025. Le découpage en zones A, B et C a été instauré en 1972.",B
Journée mondiale de la Santé,2025-04-07,,Santé,Commémore la fondation de l'OMS le 7 avril 1948.,
Vacances de Printemps - Zone C,2025-04-12,2025-04-27,Vacances scolaires,"Vacances de Printemps pour la zone scolaire C. Durée : 16 jours, du 12/04/2025 au 27/04/2025. Le découpage en zones A, B et C a été instauré en 1972.",C
Dimanche des Rameaux,2025-04-13,,Christianisme,Ouvre la Semaine Sainte en rappelant l'entrée triomphale de Jésus à Jérusalem.,
Pleine Lune,2025-04-13,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Vendredi Saint,2025-04-18,,Jours fériés|Christianisme,"Commémore la crucifixion du Christ. Jour férié uniquement en Alsace-Moselle (départements 57, 67, 68) en vertu du régime concordataire.",AM
Vendredi Saint,2025-04-18,,Christianisme,Commémore la crucifixion du Christ. Non férié en France depuis la loi de 1905 — sauf en Alsace-Moselle.,
Vacances de Printemps - Zone A,2025-04-19,2025-05-04,Vacances scolaires,"Vacances de Printemps pour la zone scolaire A. Durée : 16 jours, du 19/04/2025 au 04/05/2025. Le découpage en zones A, B et C a été instauré en 1972.",A
Pâques,2025-04-20,,Christianisme,Fête chrétienne célébrant la résurrection du Christ. Sa date varie chaque année car elle suit le calendrier lunaire.,
Dernier Quartier,2025-04-21,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Lundi de Pâques,2025-04-21,,Jours fériés|Christianisme,"Jour férié qui prolonge le dimanche de Pâques. La tradition des œufs vient du Carême : l'Église interdisait d'en manger pendant 40 jours, on offrait donc à Pâques ceux accumulés.",
Jour de la Terre,2025-04-22,,Environnement|Société,Né le 22 avril 1970 après une marée noire en Californie.,
Nouvelle Lune,2025-04-27,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Fête du Travail,2025-05-01,,Jours fériés|Société,"Commémore la grève de Chicago du 1er mai 1886 pour les 8 heures de travail, réprimée dans le sang. Férié et chômé en France depuis 1947. La tradition d'offrir du muguet vient d'une coutume de Charles IX datant de 1561.",
Pont possible — Fête du Travail,2025-05-02,,Ponts / Congés,Fête du Travail tombe un jeudi le 01/05/2025. Le vendredi 02/05/2025 est un pont potentiel — vérifiez auprès de votre employeur.,
Premier Quartier,2025-05-04,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Fête de la Victoire 1945,2025-05-08,,Jours fériés,"Le 8 mai 1945, l'Allemagne nazie signe sa capitulation sans condition, mettant fin à la guerre en Europe. Férié depuis 1953, supprimé par Giscard en 1975, puis rétabli par Mitterrand en 1981.",
Pont possible — Fête de la Victoire,2025-05-09,,Ponts / Congés,Fête de la Victoire tombe un jeudi le 08/05/2025. Le vendredi 09/05/2025 est un pont potentiel — vérifiez auprès de votre employeur.,
Abolition de l'esclavage en France — Commémoration,2025-05-10,,Mémoire|Société,Journée nationale instaurée par la loi Taubira de 2001.,
Pleine Lune,2025-05-12,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
BTS — Épreuves écrites,2025-05-13,2025-05-16,Éducation|Examens,Le Brevet de Technicien Supérieur (BTS) est un diplôme bac+2 de l'enseignement supérieur court.,
Festival de Cannes — Ouverture,2025-05-14,,Culture|Cinéma,"Le Festival International du Film de Cannes, créé en 1946.",
Nuit des Musées,2025-05-17,,Culture,Créée en France en 2005 et étendue à toute l'Europe.,
Dernier Quartier,2025-05-20,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Journée mondiale de la biodiversité,2025-05-22,,Environnement,Commémore l'adoption de la Convention sur la Diversité Biologique à Rio.,
Grand Prix de Monaco F1 2025,2025-05-23,2025-05-25,Sport,Course mythique du calendrier de Formule 1 dans les rues de Monaco.,all
Finale Coupe de France 2024-2025,2025-05-24,2025-05-24,Sport,"Au Stade de France. Le PSG remporte son 16e titre, battant le Stade de Reims.",all
Fête des Mères,2025-05-25,,Fêtes|Culture,"Célébrée le dernier dimanche de mai, sauf si c'est la Pentecôte.",
Roland-Garros 2025,2025-05-25,2025-06-08,Sport,Grand Chelem sur terre battue à Paris.,all
Journée nationale de la Résistance,2025-05-27,,Mémoire|Société,"Le 27 mai 1943, Jean Moulin préside la première réunion secrète du CNR.",
Nouvelle Lune,2025-05-27,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Ascension,2025-05-29,,Jours fériés|Christianisme,"Fête chrétienne commémorant la montée du Christ au ciel, 40 jours après Pâques. Toujours un jeudi, ce qui en fait naturellement un pont avec le vendredi.",
"Pont de l'Ascension - Zones A, B et C",2025-05-29,2025-06-01,Vacances scolaires,"Pont de l'Ascension pour toutes les zones (A, B et C). Durée : 4 jours, du 29/05/2025 au 01/06/2025.",A|B|C
Fête des Voisins,2025-05-30,,Société,Créée en 2000 pour lutter contre l'isolement urbain.,
Pont possible — Ascension,2025-05-30,,Ponts / Congés,Ascension tombe un jeudi le 29/05/2025. Le vendredi 30/05/2025 est un pont potentiel — vérifiez auprès de votre employeur.,
Finale UEFA Ligue des Champions 2024-2025,2025-05-31,2025-05-31,Sport,À la Fußball Arena München de Munich. Le PSG remporte son premier titre en écrasant l'Inter Milan (5-0).,all
Journée mondiale sans tabac,2025-05-31,,Santé,Lancée par l'OMS en 1987.,
Premier Quartier,2025-06-03,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
CAP — Épreuves écrites d'enseignement général,2025-06-04,2025-06-05,Éducation|Examens,Le Certificat d'Aptitude Professionnelle (CAP) certifie des compétences dans un métier précis.,
Débarquement en Normandie — Commémoration du Jour J,2025-06-06,,Mémoire|Dates spéciales,"Le 6 juin 1944, 156 000 soldats alliés débarquent sur les plages de Normandie.",
Journée mondiale de l'océan,2025-06-08,,Environnement,Proposée lors du Sommet de la Terre de Rio en 1992.,
Pentecôte,2025-06-08,,Christianisme,"Célèbre la descente de l'Esprit Saint sur les apôtres, 50 jours après Pâques.",
Lundi de Pentecôte,2025-06-09,,Jours fériés|Christianisme,"Jour férié désigné depuis 2004 Journée de solidarité envers les personnes âgées. Les salariés travaillent ce jour sans rémunération supplémentaire, finançant ainsi la prise en charge de la dépendance — instauré après la canicule de 2003 qui fit 15 000 morts en France.",
Pleine Lune,2025-06-11,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
24 Heures du Mans 2025,2025-06-14,2025-06-15,Sport,Course d'endurance mythique sur le circuit de la Sarthe.,all
Fête des Pères,2025-06-15,,Fêtes|Culture,"Née aux États-Unis en 1910, introduite en France dans les années 1950.",
Baccalauréat général et technologique — Philosophie et Grand Oral,2025-06-16,2025-06-27,Éducation|Examens,"L'épreuve de philosophie ouvre le bac terminal, suivie du Grand Oral introduit par la réforme 2019.",
Appel du 18 juin 1940 — Anniversaire,2025-06-18,,Mémoire|Dates spéciales,"Le 18 juin 1940, de Gaulle lance depuis Londres un appel à la Résistance sur la BBC.",
Dernier Quartier,2025-06-18,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Début de l'Été — Solstice d'été,2025-06-21,,Saisons|Astronomie,Le solstice d'été est le jour le plus long de l'année.,
Fête de la Musique,2025-06-21,,Culture|Fêtes,Créée en 1982 par le ministre Jack Lang.,
Jour le plus long de l'année,2025-06-21,,Saisons|Astronomie,Le 21 June est le jour le plus long de l'année 2025.,
Fête du Cinéma,2025-06-22,,Culture|Cinéma,"Créée en 1985, elle propose chaque fin juin des places à tarif réduit.",
Nouvelle Lune,2025-06-25,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Brevet des collèges (DNB) — Épreuves écrites,2025-06-26,2025-06-27,Éducation|Examens,Le diplôme national du brevet sanctionne la fin du collège.,
Milieu de l'année,2025-07-02,,Dates spéciales,Ce jour marque le point médian exact de l'année 2025.,
Premier Quartier,2025-07-02,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Festival d'Avignon — Ouverture,2025-07-05,,Culture|Théâtre,Créé par Jean Vilar en 1947 dans la cour du Palais des Papes.,
Tour de France 2025,2025-07-05,2025-07-27,Sport,La plus grande course cycliste au monde.,all
"Vacances d'Été - Zones A, B et C",2025-07-05,2025-08-31,Vacances scolaires,"Vacances d'Été pour toutes les zones (A, B et C). Durée : 58 jours, du 05/07/2025 au 31/08/2025.",A|B|C
Pleine Lune,2025-07-10,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Commémoration de la Rafle du Vél d'Hiv,2025-07-13,,Mémoire|Société,"Les 16-17 juillet 1942, la police française arrêta 13 152 Juifs à Paris.",
Fête Nationale,2025-07-14,,Jours fériés|Société|Dates spéciales,Commémore la prise de la Bastille le 14 juillet 1789.,
Fête nationale,2025-07-14,,Jours fériés,"Commémore la prise de la Bastille le 14 juillet 1789, symbole de la Révolution française. Jour férié depuis 1880. Défilé militaire sur les Champs-Élysées, bals des pompiers et feux d'artifice dans toute la France.",
Dernier Quartier,2025-07-18,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Nouvelle Lune,2025-07-24,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Premier Quartier,2025-08-01,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Nuit des Étoiles,2025-08-02,,Astronomie|Éducation|Culture,Organisée chaque premier week-end d'août par l'Association Française d'Astronomie depuis 1991.,
Pleine Lune,2025-08-09,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Assomption,2025-08-15,,Jours fériés,"Célèbre l'élévation de la Vierge Marie au ciel. Fête chrétienne ancienne, jour férié en France depuis le Concordat de 1802. Elle tombe en plein cœur de l'été, au milieu des grandes vacances.",
Assomption de Marie,2025-08-15,,Christianisme|Jours fériés,Célèbre l'élévation de la Vierge Marie au ciel.,
Ligue 1 2025-2026,2025-08-15,2026-05-16,Sport,"88e édition du championnat de France, 2e sous l'appellation Ligue 1 McDonald's.",all
Dernier Quartier,2025-08-16,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Coupe du monde féminine de rugby 2025,2025-08-22,2025-09-27,Sport,"10e édition, organisée en Angleterre.",all
Nouvelle Lune,2025-08-23,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Premier Quartier,2025-08-31,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Rentrée des classes,2025-09-02,,Éducation|Société,La rentrée de septembre mobilise 12 millions d'élèves et 870 000 enseignants en France.,
Braderie de Lille,2025-09-06,,Culture|Commerce,"Plus grande braderie d'Europe, organisée le premier week-end de septembre à Lille.",
Pleine Lune,2025-09-07,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Championnats du monde d'athlétisme 2025,2025-09-13,2025-09-21,Sport,"20e édition au Stade national de Tokyo, Japon.",all
Dernier Quartier,2025-09-14,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Journées du Patrimoine,2025-09-20,,Culture|Société,"Créées en France en 1984 par Jack Lang, étendues à toute l'Europe en 1991.",
Nouvelle Lune,2025-09-21,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Début de l'Automne — Équinoxe d'automne,2025-09-22,,Saisons|Astronomie,L'équinoxe d'automne marque le début de l'automne.,
Journée mondiale sans voiture,2025-09-22,,Environnement|Société,Lancée en France en 1998 par La Rochelle.,
Premier Quartier,2025-09-30,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Journée mondiale du cacao et du chocolat,2025-10-01,,Gastronomie|Culture,Célébrée le 1er octobre et associée à l'Organisation internationale du cacao (ICCO).,
Lancement d'Octobre Rose,2025-10-01,,Santé,Tout octobre est dédié à la sensibilisation au cancer du sein.,
Nuit Blanche,2025-10-04,,Culture,Initiée à Paris en 2002 par le maire Bertrand Delanoë.,
Fête des Grands-Pères,2025-10-05,,Fêtes|Culture,"Créée en 2008, elle a lieu chaque premier dimanche d'octobre.",
Pleine Lune,2025-10-07,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Journée mondiale de la santé mentale,2025-10-10,,Santé|Société,Créée par la Fédération Mondiale pour la Santé Mentale en 1992.,
Dernier Quartier,2025-10-13,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Semaine du Goût,2025-10-13,,Gastronomie|Culture,Créée en 1990 par le chef Joël Robuchon.,
Journée mondiale de l'alimentation,2025-10-16,,Gastronomie|Société|Santé,Commémore la fondation de la FAO le 16 octobre 1945.,
"Vacances de la Toussaint - Zones A, B et C",2025-10-18,2025-11-02,Vacances scolaires,"Vacances de la Toussaint pour toutes les zones (A, B et C). Durée : 16 jours, du 18/10/2025 au 02/11/2025.",A|B|C
Nouvelle Lune,2025-10-21,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Passage à l'heure d'hiver,2025-10-26,,Changement d'heure,"Dans la nuit du samedi au dimanche, les montres reculent d'une heure (3h → 2h).",
Premier Quartier,2025-10-29,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Halloween,2025-10-31,,Culture|Fêtes,Fête d'origine celtique (la nuit de Samain) christianisée puis popularisée par la diaspora irlandaise.,
Lancement du Mois sans Tabac,2025-11-01,,Santé,Lancé en France en 2016 par Santé Publique France.,
Toussaint,2025-11-01,,Jours fériés|Christianisme,"Fête de tous les saints, instituée par le pape Grégoire IV en 835. En France, la tradition de fleurir les tombes avec des chrysanthèmes s'est greffée dessus — ces fleurs sont désormais intimement liées à ce jour.",
Pleine Lune,2025-11-05,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Journée nationale de l'arbre,2025-11-06,,Environnement,Célébrée chaque premier jeudi de novembre.,
Pont possible — Armistice 1918,2025-11-10,,Ponts / Congés,Armistice 1918 tombe un mardi le 11/11/2025. Le lundi 10/11/2025 est un pont potentiel — vérifiez auprès de votre employeur.,
Armistice 1918,2025-11-11,,Jours fériés,"Le 11 novembre 1918 à 11h, l'armistice met fin à la Première Guerre mondiale après quatre ans de combats. Jour férié depuis 1922. Chaque commune française a son monument aux morts — 36 000 érigés entre 1920 et 1925.",
Armistice de 1918 — Journée du Souvenir,2025-11-11,,Jours fériés|Mémoire|Dates spéciales,"Le 11 novembre 1918 à 11h, l'armistice met fin à la Première Guerre mondiale.",
Dernier Quartier,2025-11-12,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Beaujolais Nouveau,2025-11-20,,Gastronomie|Culture|Commercial,"Chaque troisième jeudi de novembre, le Beaujolais Nouveau est mis en vente.",
Journée internationale des droits de l'enfant,2025-11-20,,Société,Commémore l'adoption de la Convention des Nations Unies relative aux droits de l'enfant.,
Nouvelle Lune,2025-11-20,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Premier Quartier,2025-11-28,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Fête de la Bretagne,2025-11-30,,Culture|Société,Célébrée le 30 novembre (Saint-André) depuis les années 1990.,
Journée mondiale des personnes handicapées,2025-12-03,,Société,Instaurée par l'ONU en 1992.,
Journée mondiale du Bénévolat,2025-12-05,,Société,Créée par l'ONU en 1985.,
Pleine Lune,2025-12-05,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Saint-Nicolas,2025-12-06,,Christianisme|Culture|Fêtes,"Fête de Nicolas de Myre, évêque du IVe siècle devenu patron des enfants.",
Journée de la Laïcité,2025-12-09,,Société|Dates spéciales,Commémore la loi du 9 décembre 1905 séparant les Églises de l'État.,
Dernier Quartier,2025-12-11,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Nouvelle Lune,2025-12-20,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
"Vacances de Noël - Zones A, B et C",2025-12-20,2026-01-04,Vacances scolaires,"Vacances de Noël pour toutes les zones (A, B et C). Durée : 16 jours, du 20/12/2025 au 04/01/2026.",A|B|C
Début de l'Hiver — Solstice d'hiver,2025-12-21,,Saisons|Astronomie,Le solstice d'hiver est le jour le plus court de l'année.,
Jour le plus court de l'année,2025-12-21,,Saisons|Astronomie,Le 21 December est le jour le plus court de l'année 2025.,
Noël,2025-12-25,,Jours fériés|Christianisme|Fêtes,"Célèbre la naissance du Christ. La date du 25 décembre a été fixée au IVe siècle sur une fête solaire romaine préexistante. Le sapin, la bûche et les cadeaux sont des traditions popularisées bien plus tard, au XIXe siècle.",
Pont possible — Noël,2025-12-26,,Ponts / Congés,Noël tombe un jeudi le 25/12/2025. Le vendredi 26/12/2025 est un pont potentiel — vérifiez auprès de votre employeur.,
Saint-Étienne,2025-12-26,,Jours fériés|Christianisme,"Le 26 décembre est férié uniquement en Alsace-Moselle (depts 57, 67, 68). Fête de saint Étienne, premier martyr chrétien.",AM
Premier Quartier,2025-12-27,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Dernier jour de l'année,2025-12-31,,Dates spéciales,Clôture de l'année civile 2025.,
Saint-Sylvestre / Réveillon du Nouvel An,2025-12-31,,Fêtes|Culture,"Dernier jour de l'année, nommé d'après le pape Sylvestre Ier mort ce jour en 335.",
Jour de l'an,2026-01-01,,Jours fériés,Premier jour de l'année civile grégorienne. La tradition des vœux existe depuis l'Antiquité romaine. Le gui porte-bonheur vient d'une coutume druidique bien antérieure au christianisme.,
Pont possible — Jour de l'an,2026-01-02,,Ponts / Congés,Jour de l'an tombe un jeudi le 01/01/2026. Le vendredi 02/01/2026 est un pont potentiel — vérifiez auprès de votre employeur.,
Pleine Lune,2026-01-03,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Épiphanie,2026-01-06,,Christianisme|Culture|Gastronomie,"Célèbre la visite des Rois Mages à Jésus, 12 jours après Noël.",
Dernier Quartier,2026-01-10,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Nouvelle Lune,2026-01-18,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Journée internationale de l'Éducation,2026-01-24,,Éducation|Société,Proclamée par l'ONU en 2019.,
Premier Quartier,2026-01-26,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Journée nationale de la Mémoire de la Shoah,2026-01-27,,Mémoire|Société,Commémore la libération du camp d'Auschwitz le 27 janvier 1945.,
Pleine Lune,2026-02-01,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Chandeleur,2026-02-02,,Culture|Christianisme|Gastronomie,"Fête de la Présentation de Jésus au Temple, 40 jours après Noël.",
Journée mondiale des zones humides,2026-02-02,,Environnement,Commémore la Convention de Ramsar signée le 2 février 1971.,
Journée mondiale contre le cancer,2026-02-04,,Santé,Initiée par l'Union Internationale Contre le Cancer depuis 2000.,
Tournoi des Six Nations 2026,2026-02-05,2026-03-14,Sport,La France conserve son titre grâce à une pénalité dans le temps additionnel lors du Crunch face à l'Angleterre.,all
Jeux Olympiques d'hiver de Milan-Cortina 2026,2026-02-06,2026-02-22,Sport|JO,"XXVes Jeux Olympiques d'hiver à Milan et Cortina d'Ampezzo, Italie.",all
Vacances d'Hiver - Zone A,2026-02-07,2026-02-22,Vacances scolaires,"Vacances d'Hiver pour la zone scolaire A. Durée : 16 jours, du 07/02/2026 au 22/02/2026. Le découpage en zones A, B et C a été instauré en 1972.",A
Dernier Quartier,2026-02-09,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Saint-Valentin,2026-02-14,,Fêtes|Culture,Fête des amoureux le 14 février.,
Vacances d'Hiver - Zone B,2026-02-14,2026-03-01,Vacances scolaires,"Vacances d'Hiver pour la zone scolaire B. Durée : 16 jours, du 14/02/2026 au 01/03/2026. Le découpage en zones A, B et C a été instauré en 1972.",B
Mardi Gras,2026-02-17,,Christianisme|Culture|Fêtes,"Dernier jour avant le Carême, où la tradition voulait qu'on fasse bombance avant l'abstinence.",
Nouvelle Lune,2026-02-17,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Début du Carême,2026-02-18,,Christianisme,"Le Carême commence le Mercredi des Cendres, 46 jours avant Pâques.",
Vacances d'Hiver - Zone C,2026-02-21,2026-03-08,Vacances scolaires,"Vacances d'Hiver pour la zone scolaire C. Durée : 16 jours, du 21/02/2026 au 08/03/2026. Le découpage en zones A, B et C a été instauré en 1972.",C
Premier Quartier,2026-02-24,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Salon de l'Agriculture — Ouverture,2026-02-28,,Gastronomie|Agriculture|Culture,Le Salon International de l'Agriculture se tient chaque fin février à Paris.,
Fête des Grands-Mères,2026-03-01,,Fêtes|Culture,Créée en 1987 par la marque de café Grand'Mère.,
Pleine Lune,2026-03-03,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Journée internationale des femmes,2026-03-08,,Société,Issue des luttes ouvrières du début du XXe siècle en Europe et aux États-Unis.,
Dernier Quartier,2026-03-11,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Élections municipales — 1er tour,2026-03-15,2026-03-15,Élections|Société,Élections municipales françaises : renouvellement des conseils municipaux dans toutes les communes. Date confirmée par décret.,
Saint-Patrick,2026-03-17,,Culture|Fêtes,"Fête nationale irlandaise le 17 mars, commémorant la mort de saint Patrick (461).",
Nouvelle Lune,2026-03-19,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Début du Printemps — Équinoxe de printemps,2026-03-20,,Saisons|Astronomie,L'équinoxe de printemps marque le début astronomique du printemps.,
Journée nationale de lutte contre les discriminations,2026-03-21,,Société,Créée par l'ONU en 1966 en mémoire du massacre de Sharpeville.,
Journée mondiale de l'eau,2026-03-22,,Environnement|Société,Proclamée par l'ONU en 1993.,
Élections municipales — 2e tour,2026-03-22,2026-03-22,Élections|Société,Élections municipales françaises : renouvellement des conseils municipaux dans toutes les communes. Date confirmée par décret.,
Premier Quartier,2026-03-25,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Dimanche des Rameaux,2026-03-29,,Christianisme,Ouvre la Semaine Sainte en rappelant l'entrée triomphale de Jésus à Jérusalem.,
Passage à l'heure d'été,2026-03-29,,Changement d'heure,"Dans la nuit du samedi au dimanche, les montres avancent d'une heure (2h → 3h).",
Poisson d'avril,2026-04-01,,Culture,Journée des farces et des canulars.,
Pleine Lune,2026-04-02,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
